AppID,Name,Release date,Estimated owners,Peak CCU,Price,Positive,Negative,Genres,Price_USD,Total_Reviews,Pct_Positive,Genre_Utama,Tahun_Rilis,Bulan_Rilis
3331010,Furry X Bussy Master: Randy the Red Knot Reindeer,2024-12-25,0 - 0,0,3.99,0,0,"Casual,Indie",3.99,0,0.0,Casual,2024,12
3134550,Kaf village,2024-08-16,50000 - 100000,5,0.0,135,77,"Action,Indie,Free To Play",0.0,212,63.68,Action,2024,8
200510,XCOM: Enemy Unknown,2012-10-08,2000000 - 5000000,590,5.99,52717,3697,Strategy,5.99,56414,93.45,Strategy,2012,10
687280,The Awakening,2017-09-21,20000 - 50000,0,0.0,28,27,"Free To Play,Strategy",0.0,55,50.91,Free To Play,2017,9
1528540,Holy Whore Emily,2025-01-20,0 - 20000,1,8.99,0,0,"Casual,Simulation",8.99,0,0.0,Casual,2025,1
3153890,Simulator of Countries,2025-03-20,0 - 20000,0,3.19,9,3,"Indie,Simulation,Strategy",3.19,12,75.0,Indie,2025,3
2099270,ProjectZombieSurvivors,2022-08-12,100000 - 200000,0,4.99,3,1,Action,4.99,4,75.0,Action,2022,8
3829120,NextVisuals Benchmark Forest,2025-07-29,0 - 0,0,4.99,0,0,Utilities,4.99,0,0.0,Utilities,2025,7
3683040,Hentai Boxing Maggie,2025-05-22,0 - 20000,1,0.49,0,0,Casual,0.49,0,0.0,Casual,2025,5
1000900,Zero spring episode 3,2019-01-10,0 - 20000,0,0.79,1,0,"Adventure,Indie,RPG",0.79,1,100.0,Adventure,2019,1
3479150,Bakka,2025-02-13,0 - 20000,0,1.99,10,0,"Indie,Strategy",1.99,10,100.0,Indie,2025,2
1617370,Bridge to Another World: Endless Game Collector's Edition,2021-04-30,0 - 20000,0,0.99,11,1,"Adventure,Casual",0.99,12,91.67,Adventure,2021,4
1433030,MOAI 7: Mystery Coast,2020-11-05,0 - 20000,2,1.79,17,4,"Casual,Simulation,Strategy",1.79,21,80.95,Casual,2020,11
2138140,Didactic Jesus Game,2022-12-23,0 - 20000,0,3.59,20,3,RPG,3.59,23,86.96,RPG,2022,12
271900,Hexcells Plus,2014-02-19,100000 - 200000,20,0.89,2540,143,"Casual,Indie,Strategy",0.89,2683,94.67,Casual,2014,2
2564870,Pumpkinman,2023-10-29,0 - 20000,0,4.99,5,0,"Action,Indie",4.99,5,100.0,Action,2023,10
2095480,Simple Trains,2024-06-26,0 - 20000,1,2.99,13,4,"Indie,Simulation,Strategy,Early Access",2.99,17,76.47,Indie,2024,6
2934190,Aooni,2024-07-25,50000 - 100000,9,1.99,585,171,"Action,Adventure,Indie,RPG",1.99,756,77.38,Action,2024,7
390040,Small Radios Big Televisions,2016-11-08,20000 - 50000,0,11.99,265,106,"Adventure,Indie",11.99,371,71.43,Adventure,2016,11
906010,TAL: Arctic 2,2018-08-03,0 - 20000,1,0.49,26,17,"Adventure,Casual,Indie",0.49,43,60.47,Adventure,2018,8
2272290,Bottoms Up!: Part 1,2023-04-07,20000 - 50000,0,2.99,16,0,"Adventure,Casual,Indie",2.99,16,100.0,Adventure,2023,4
614970,Qbike: Cyberpunk Motorcycles,2017-07-28,0 - 20000,0,0.0,33,26,"Action,Casual,Massively Multiplayer,Racing,Simulation,Sports,Early Access",0.0,59,55.93,Action,2017,7
2653330,NINJA KATO 1,2023-12-07,0 - 20000,0,1.99,0,0,"Action,Indie",1.99,0,0.0,Action,2023,12
304650,SUNLESS SEA,2015-02-06,1000000 - 2000000,45,6.45,7715,1573,"Adventure,Indie,RPG",6.45,9288,83.06,Adventure,2015,2
1034150,Mosaic Chronicles,2022-09-29,0 - 20000,2,7.99,72,14,"Casual,Indie",7.99,86,83.72,Casual,2022,9
2767430,Wisps of the Elements,2025-10-24,0 - 0,0,5.99,0,0,"RPG,Strategy",5.99,0,0.0,RPG,2025,10
656620,Circuit Warz,2017-07-04,20000 - 50000,0,0.0,14,14,"Action,Indie",0.0,28,50.0,Action,2017,7
777470,The Infinite Black 2,2023-06-16,20000 - 50000,5,6.99,189,32,"Adventure,Massively Multiplayer",6.99,221,85.52,Adventure,2023,6
2966270,誘拐犯 Kidnappers,2024-05-14,0 - 0,0,0.0,0,0,"Adventure,Casual,Indie,Free To Play",0.0,0,0.0,Adventure,2024,5
2353440,Carry Onward,2023-07-21,0 - 20000,0,0.99,31,4,"Adventure,Casual,Indie,Simulation",0.99,35,88.57,Adventure,2023,7
1511630,TrackDayR,2021-03-17,20000 - 50000,91,24.99,1027,194,"Indie,Massively Multiplayer,Racing,Simulation,Sports,Early Access",24.99,1221,84.11,Indie,2021,3
884180,Robot Rumble 2,2024-09-03,0 - 20000,12,0.0,156,39,"Simulation,Free To Play",0.0,195,80.0,Simulation,2024,9
1393420,TOKOYO: The Tower of Perpetuity,2022-06-01,20000 - 50000,2,7.19,440,49,"Action,Indie",7.19,489,89.98,Action,2022,6
3310530,Fairground Online,2026-01-16,0 - 0,0,29.99,0,0,Simulation,29.99,0,0.0,Simulation,2026,1
1900830,The Watcher,2025-01-09,0 - 20000,0,4.99,0,0,"Action,Casual,Indie",4.99,0,0.0,Action,2025,1
1350100,RUNOUT,2022-03-08,20000 - 50000,0,1.99,19,6,"Action,Adventure",1.99,25,76.0,Action,2022,3
3624020,BULLET YEETERS,2025-08-19,0 - 20000,0,0.0,0,0,"Action,Casual,Indie,Massively Multiplayer,RPG,Free To Play",0.0,0,0.0,Action,2025,8
1427140,Among School Girls,2020-10-06,0 - 20000,0,2.49,22,15,"Adventure,Casual,Indie",2.49,37,59.46,Adventure,2020,10
1566820,Cooking Trip New Challenge,2021-08-10,0 - 20000,0,4.49,14,2,Casual,4.49,16,87.5,Casual,2021,8
2577660,Spava,2024-09-24,0 - 0,0,2.99,0,0,"Casual,Indie",2.99,0,0.0,Casual,2024,9
1026100,Stranded Sails - Prologue,2021-06-22,0 - 0,0,0.0,0,0,"Action,Adventure,Casual,Indie,RPG,Simulation,Free To Play",0.0,0,0.0,Action,2021,6
1881240,Command Line Mazer,2022-06-21,0 - 20000,0,1.99,1,0,"Casual,Indie,Strategy",1.99,1,100.0,Casual,2022,6
1305190,Aria: Dragon Eater,2021-06-03,0 - 20000,0,4.79,1,1,"Action,Indie",4.79,2,50.0,Action,2021,6
1828410,Survive The Island,2021-12-14,0 - 0,0,0.0,0,0,"Action,RPG,Free To Play",0.0,0,0.0,Action,2021,12
523730,Sweet Volley High,2016-10-26,20000 - 50000,0,9.99,55,24,"Adventure,Casual,Indie",9.99,79,69.62,Adventure,2016,10
2998730,Gallery X,2024-06-10,0 - 20000,0,6.99,1,1,"Adventure,Casual,Indie,Simulation",6.99,2,50.0,Adventure,2024,6
1417950,Simon the Sorcerer 3D,2021-05-11,0 - 20000,0,3.89,15,13,Adventure,3.89,28,53.57,Adventure,2021,5
393430,Ice Lakes,2016-04-19,200000 - 500000,3,3.74,1370,229,"Indie,Simulation,Sports",3.74,1599,85.68,Indie,2016,4
370130,Lion Quest,2016-07-11,20000 - 50000,0,0.89,38,28,"Action,Adventure,Indie",0.89,66,57.58,Action,2016,7
1981190,Equinox,2022-06-12,0 - 0,0,0.0,0,0,"Action,Casual,Free To Play",0.0,0,0.0,Action,2022,6
897000,Love Chronicles: A Winter's Spell Collector's Edition,2018-08-03,0 - 20000,0,4.99,4,0,"Adventure,Casual",4.99,4,100.0,Adventure,2018,8
1977750,HoverRider,2022-05-28,0 - 20000,0,2.99,2,1,"Casual,Racing,Early Access",2.99,3,66.67,Casual,2022,5
1738740,七雄纷争,2022-01-24,0 - 0,0,0.0,0,0,"Free To Play,Massively Multiplayer,RPG,Simulation,Strategy",0.0,0,0.0,Free To Play,2022,1
3955690,Corner Cards,2025-11-02,0 - 0,0,3.59,0,0,"Casual,Indie",3.59,0,0.0,Casual,2025,11
3712020,意识分裂开篇季,2025-05-20,0 - 20000,2,1.7,4,1,"Adventure,Indie",1.7,5,80.0,Adventure,2025,5
1272100,Geezer Gus: The Meteorite Motel,2020-04-07,0 - 20000,0,0.99,0,0,"Action,Adventure,Indie,RPG",0.99,0,0.0,Action,2020,4
2767520,LurkBait Twitch Fishing,2024-02-21,20000 - 50000,383,7.0,393,7,"Casual,Indie,Simulation,Sports",7.0,400,98.25,Casual,2024,2
613590,Dungeon Of Zaar - Open Beta,2018-04-16,50000 - 100000,0,0.0,97,41,"Free To Play,Indie,Strategy,Early Access",0.0,138,70.29,Free To Play,2018,4
3464320,HGPP,2025-02-14,0 - 20000,0,1.19,1,0,Indie,1.19,1,100.0,Indie,2025,2
2437750,Paradise Lust 2,2025-05-15,0 - 20000,24,15.99,0,0,"Adventure,Indie,RPG",15.99,0,0.0,Adventure,2025,5
1007890,VR Paper Star,2019-01-21,0 - 20000,0,19.99,0,0,"Action,Indie",19.99,0,0.0,Action,2019,1
